Nume,Link
"Laptop Lenovo IdeaPad 3 15ALC6 cu procesor AMD Ryzen™ 7 5700U pana la 4.3 GHz, 15.6"" Full HD, IPS, 8GB, 512GB SSD, AMD Radeon Graphics, Windows 11 Home, Abyss Blue",https://www.emag.ro/laptop-lenovo-ideapad-3-15alc6-cu-procesor-amd-ryzentm-7-5700u-pana-la-4-3-ghz-15-6-full-hd-ips-8gb-512gb-ssd-amd-radeon-graphics-windows-11-home-abyss-blue-82ku018lrm/pd/D7HFSZMBM/
"Laptop Gaming Legion 5 Pro 16ACH6H cu procesor AMD Ryzen™ 5 5600H pana la 4.2 GHz, 16"" WQXGA, IPS, 165 Hz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060 6GB, No OS, Storm Grey, 3y on-site, Premium Care",https://www.emag.ro/laptop-gaming-legion-5-pro-16ach6h-cu-procesor-amd-ryzentm-5-5600h-pana-la-4-2-ghz-16-wqxga-ips-165-hz-16gb-512gb-ssd-nvidia-geforce-rtx-3060-6gb-no-os-storm-grey-3y-on-site-premium-care-82jq011brm/pd/DMHFSZMBM/
"Laptop ASUS VivoBook 15 X1500EA cu procesor Intel® Core™ i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, IPS, 16GB, 1TB HDD + 512GB SSD, Intel® Iris® Xe Graphics, No OS, Indie Black",https://www.emag.ro/laptop-asus-vivobook-15-x1500ea-cu-procesor-intelr-coretm-i5-1135g7-pana-la-4-20-ghz-15-6-full-hd-ips-16gb-1tb-hdd-512gb-ssd-intelr-irisr-xe-graphics-no-os-indie-black-x1500ea-bq2338/pd/D3B8HZMBM/
"Laptop Lenovo ThinkBook 15 G2 ITL cu procesor Intel® Core™ i7-1165G7 pana la 4.70 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, NVIDIA GeForce MX450 2GB, No Os, Mineral Grey",https://www.emag.ro/laptop-lenovo-thinkbook-15-g2-itl-cu-procesor-intelr-coretm-i7-1165g7-pana-la-4-70-ghz-15-6-full-hd-ips-16gb-512gb-ssd-nvidia-geforce-mx450-2gb-no-os-mineral-grey-20ve00lfrm/pd/DMNT49MBM/
"Laptop Gaming HP VICTUS 16-d1013nq cu procesor Intel® Core™ i7-12700H pana la 4.70 GHz, 16.1"", Full HD, IPS, 144Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 3050 Ti 4GB, Free DOS, Mica Silver",https://www.emag.ro/laptop-gaming-hp-victus-16-d1013nq-cu-procesor-intelr-coretm-i7-12700h-pana-la-4-70-ghz-16-1-full-hd-ips-144hz-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-free-dos-mica-silver-6m374ea/pd/D540SLMBM/
"Laptop Apple MacBook Air 13-inch, cu procesor Apple M2, 8 nuclee CPU si 10 nuclee GPU, 8GB, 512GB, Midnight, Layout INT",https://www.emag.ro/laptop-apple-macbook-air-13-inch-cu-procesor-apple-m2-8-nuclee-cpu-si-10-nuclee-gpu-8gb-512gb-midnight-layout-int-mly43ze-a/pd/DH36H4MBM/
"Laptop LG Gram 17Z90Q cu procesor Intel Core i7-1260P, 17.3"" WQXGA (2560*1600), 32GB DDR5, 1 TB SSD, Intel Iris Xe Graphics, Windows 11 Advanced, Obsidian Black",https://www.emag.ro/laptop-lg-gram-17z90q-cu-procesor-intel-core-i7-1260p-17-3-wqxga-2560-1600-32gb-ddr5-1-tb-ssd-intel-iris-xe-graphics-windows-11-advanced-obsidian-black-17z90q-g-ad78h1/pd/DR7054MBM/
"Laptop ultraportabil ASUS Zenbook 14 OLED UX3402ZA cu procesor Intel® Core™ i5-1240P pana la 4.40 GHz, 14"", 2.8K OLED, 16GB, 1TB M.2 NVMe™ PCIe® 3.0 SSD, Intel® Iris® Xe Graphics, Windows 11 Home, Aqua Celadon",https://www.emag.ro/laptop-ultraportabil-asus-zenbook-14-oled-ux3402za-cu-procesor-intelr-coretm-i5-1240p-pana-la-4-40-ghz-14-2-8k-oled-16gb-1tb-m-2-nvmetm-pcier-3-0-ssd-intelr-irisr-xe-graphics-windows-11-home-aqua-cela/pd/DMB8HZMBM/
"Laptop Gaming Lenovo IdeaPad 3 15IHU6 cu procesor Intel Core™ i5-11320H pana la 4.50 GHz, 15.6"" Full HD, IPS, 8GB, 256GB SSD, NVIDIA GeForce RTX 3050 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ihu6-cu-procesor-intel-coretm-i5-11320h-pana-la-4-50-ghz-15-6-full-hd-ips-8gb-256gb-ssd-nvidia-geforce-rtx-3050-4gb-no-os-shadow-black-82k101a9rm/pd/D3HFSZMBM/
"Laptop HP 255 G8 cu procesor AMD Ryzen™ 3 3250U, 15.6"", Full HD, 8GB, 256Gb SSD, AMD Radeon Graphics, Free DOS, Dark Ash Silver",https://www.emag.ro/laptop-hp-255-g8-cu-procesor-amd-ryzentm-3-3250u-15-6-full-hd-8gb-256gb-ssd-amd-radeon-graphics-free-dos-dark-ash-silver-27k52ea/pd/DH9VQXMBM/
