Nume,Link
"Laptop DELL 17'' Precision 5770 (seria 5000), UHD+ Touch, Procesor Intel® Core™ i7-12800H (24M Cache, up to 4.80 GHz), 32GB DDR5, 512GB SSD, RTX A3000 12GB, Win 11 Pro, 3Yr BOS",https://www.pcgarage.ro/notebook-laptop/dell/17-precision-5770-seria-5000-uhd-plus-touch-procesor-intel-core-i7-12800h-24m-cache-up-to-480-ghz-32gb-ddr5-512gb-ssd-rtx-a3000-12gb-win-11-pro-3yr-bos/
"Laptop Apple 16.2'' MacBook Pro 16 Liquid Retina XDR, Apple M1 Max chip (10-core CPU), 64GB, 1TB SSD, Apple M1 Max 32-core GPU, macOS Monterey, Space Grey, INT keyboard, Late 2021",https://www.pcgarage.ro/notebook-laptop/apple/162-macbook-pro-16-liquid-retina-xdr-apple-m1-max-chip-10-core-cpu-64gb-1tb-ssd-apple-m1-max-32-core-gpu-macos-monterey-space-grey-int-keyboard-late-2021/
"Laptop Apple 16.2'' MacBook Pro 16 Liquid Retina XDR, Apple M1 Max chip (10-core CPU), 64GB, 1TB SSD, Apple M1 Max 24-core GPU, macOS Monterey, Space Grey, INT keyboard, Late 2021",https://www.pcgarage.ro/notebook-laptop/apple/162-macbook-pro-16-liquid-retina-xdr-apple-m1-max-chip-10-core-cpu-64gb-1tb-ssd-apple-m1-max-24-core-gpu-macos-monterey-space-grey-int-keyboard/
"Laptop ASUS 15.6'' VivoBook 15 X513EA, FHD, Procesor Intel® Core™ i5-1135G7 (8M Cache, up to 4.20 GHz), 8GB DDR4, 512GB SSD, Intel Iris Xe, No OS, Black",https://www.pcgarage.ro/notebook-laptop/asus/156-vivobook-15-x513ea-fhd-procesor-intel-core-i5-1135g7-8m-cache-up-to-420-ghz-8gb-ddr4-512gb-ssd-intel-iris-xe-no-os-black-1/
"Laptop DELL 15.6'' Inspiron 3525, FHD 120Hz, Procesor AMD Ryzen™ 7 5825U (16M Cache, up to 4.5 GHz), 8GB DDR4, 512GB SSD, Radeon, Linux, Platinum Silver, 2Yr CIS",https://www.pcgarage.ro/notebook-laptop/dell/156-inspiron-3525-fhd-120hz-procesor-amd-ryzen-7-5825u-16m-cache-up-to-45-ghz-8gb-ddr4-512gb-ssd-radeon-linux-platinum-silver-2yr-cis/
"Laptop ASUS 15.6'' VivoBook 15 X1500EA, FHD, Procesor Intel® Core™ i7-1165G7 (12M Cache, up to 4.70 GHz, with IPU), 16GB DDR4, 512GB SSD, Intel Iris Xe, No OS, Indie Black",https://www.pcgarage.ro/notebook-laptop/asus/156-vivobook-15-x1500ea-fhd-procesor-intel-core-i7-1165g7-12m-cache-up-to-470-ghz-with-ipu-16gb-ddr4-512gb-ssd-intel-iris-xe-no-os-indie-black/
"Laptop Lenovo Gaming 15.6'' IdeaPad 3 15IHU6, FHD IPS, Procesor Intel® Core™ i5-11320H (8M Cache, up to 4.50 GHz, with IPU), 8GB DDR4, 256GB SSD, GeForce GTX 1650 4GB, No OS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-ideapad-3-15ihu6-fhd-ips-procesor-intel-core-i5-11320h-8m-cache-up-to-450-ghz-with-ipu-8gb-ddr4-256gb-ssd-geforce-gtx-1650-4gb-no-os-shadow-black/
"Laptop ASUS 15.6'' VivoBook 15 OLED K513EA, FHD, Procesor Intel® Core™ i7-1165G7 (12M Cache, up to 4.70 GHz, with IPU), 8GB DDR4, 512GB SSD, Intel Iris Xe, No OS, Hearty Gold",https://www.pcgarage.ro/notebook-laptop/asus/156-vivobook-15-oled-k513ea-fhd-procesor-intel-core-i7-1165g7-12m-cache-up-to-470-ghz-with-ipu-8gb-ddr4-512gb-ssd-intel-iris-xe-no-os-hearty-gold/
"Laptop Lenovo 15.6'' ThinkPad E15 Gen 3, FHD IPS, Procesor AMD Ryzen™ 5 5500U (8M Cache, up to 4.0 GHz), 16GB DDR4, 512GB SSD, Radeon, No OS, Black",https://www.pcgarage.ro/notebook-laptop/lenovo/156-thinkpad-e15-gen-3-fhd-ips-procesor-amd-ryzen-5-5500u-8m-cache-up-to-40-ghz-16gb-ddr4-512gb-ssd-radeon-no-os-black/
"Laptop HP 14'' ProBook 440 G8, FHD, Procesor Intel® Core™ i5-1135G7 (8M Cache, up to 4.20 GHz), 8GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 Pro, Silver",https://www.pcgarage.ro/notebook-laptop/hp/14-probook-440-g8-fhd-procesor-intel-core-i5-1135g7-8m-cache-up-to-420-ghz-8gb-ddr4-512gb-ssd-intel-iris-xe-win-11-pro-silver/
"Laptop HP 15.6'' ProBook 450 G9, FHD IPS, Procesor Intel® Core™ i5-1235U (12M Cache, up to 4.40 GHz, with IPU), 16GB DDR4, 512GB SSD, Intel Iris Xe, Free DOS, Silver",https://www.pcgarage.ro/notebook-laptop/hp/156-probook-450-g9-fhd-ips-procesor-intel-core-i5-1235u-12m-cache-up-to-440-ghz-with-ipu-16gb-ddr4-512gb-ssd-intel-iris-xe-free-dos-silver/
"Laptop Lenovo Gaming 15.6'' IdeaPad 3 15ARH7, FHD IPS 120Hz, Procesor AMD Ryzen™ 7 6800H (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3050 Ti 4GB, No OS, Glacier White",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-ideapad-3-15arh7-fhd-ips-120hz-procesor-amd-ryzen-7-6800h-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3050-ti-4gb-no-os-glacier-white/
"Laptop Lenovo 15.6'' ThinkPad E15 Gen 3, FHD IPS, Procesor AMD Ryzen™ 7 5700U (8M Cache, up to 4.3 GHz), 16GB DDR4, 512GB SSD, Radeon, No OS, Black",https://www.pcgarage.ro/notebook-laptop/lenovo/156-thinkpad-e15-gen-3-fhd-ips-procesor-amd-ryzen-7-5700u-8m-cache-up-to-43-ghz-16gb-ddr4-512gb-ssd-radeon-no-os-black/
"Laptop Lenovo Gaming 16'' IdeaPad 3 16IAH7, WUXGA IPS 165Hz, Procesor Intel® Core™ i5-12450H (12M Cache, up to 4.40 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 3050 Ti 4GB, No OS, Onyx Grey",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-ideapad-3-16iah7-wuxga-ips-165hz-procesor-intel-core-i5-12450h-12m-cache-up-to-440-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-3050-ti-4gb-no-os-onyx-grey/
"Laptop HP 17.3'' 470 G9, FHD IPS, Procesor Intel® Core™ i7-1255U (12M Cache, up to 4.70 GHz), 16GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 Pro, Silver",https://www.pcgarage.ro/notebook-laptop/hp/173-470-g9-fhd-ips-procesor-intel-core-i7-1255u-12m-cache-up-to-470-ghz-16gb-ddr4-512gb-ssd-intel-iris-xe-win-11-pro-silver/
"Laptop HP 17.3'' 470 G9, FHD IPS, Procesor Intel® Core™ i7-1255U (12M Cache, up to 4.70 GHz), 32GB DDR4, 1TB SSD, GeForce MX550 2GB, Win 11 Pro, Silver",https://www.pcgarage.ro/notebook-laptop/hp/173-470-g9-fhd-ips-procesor-intel-core-i7-1255u-12m-cache-up-to-470-ghz-32gb-ddr4-1tb-ssd-geforce-mx550-2gb-win-11-pro-silver/
"Laptop Acer Gaming 15.6'' Nitro 5 AN515-45, FHD IPS 144Hz, Procesor AMD Ryzen™ 5 5600H (16M Cache, up to 4.2 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 3070 8GB, Win 11 Home, Black",https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-nitro-5-an515-45-fhd-ips-144hz-procesor-amd-ryzen-5-5600h-16m-cache-up-to-42-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-3070-8gb-win-11-home-black/
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 8GB, 256GB SSD, Apple M2 8-core GPU, macOS Monterey, Silver, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-8gb-256gb-ssd-apple-m2-8-core-gpu-macos-monterey-silver-int-keyboard-2022/
